id,color,outline,name,style_url,coordinates,name2,value,radius,coordinates5,coordinates6,created_at,updated_at,type,address,street,city,state,country,coords,contact_person,contact_phone,contact_email,operating_hours,capacity,notes,facilities
31,null,null,Emaphupheni - HIGH RISK AREA,#Style634862,"28.441544,-26.111747,0 28.462143,-26.13425,0 28.472698,-26.134018,0 28.483343,-26.130935,0 28.489436,-26.126158,0 28.486948,-26.114135,0 28.494586,-26.093249,0 28.461199,-26.099723,0 28.442402,-26.086618,0 28.436392,-26.09664,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
32,null,null,Soshanguve1 - HIGH RISK AREA,#Style634863,"28.107319,-25.579066,0 28.105602,-25.558084,0 28.083887,-25.552509,0 28.073243,-25.552354,0 28.08629,-25.568304,0 28.090582,-25.57651,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
33,null,null,Soshanguve2 - HIGH RISK AREA,#Style634864,"28.088349,-25.577051,0 28.075216,-25.574729,0 28.064917,-25.572406,0 28.057451,-25.566911,0 28.070498,-25.549022,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
34,null,null,Soshanguve3 - HIGH RISK AREA,#Style634865,"28.084572,-25.520057,0 28.085432,-25.529661,0 28.077106,-25.549101,0 28.105688,-25.555295,0 28.113928,-25.532295,0 28.101568,-25.524781,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
35,null,null,Soshanguve4 - HIGH RISK AREA,#Style634866,"28.095818,-25.485817,0 28.092127,-25.502241,0 28.092555,-25.510995,0 28.091439,-25.520212,0 28.099508,-25.522382,0 28.103628,-25.515177,0 28.106031,-25.507355,0 28.106117,-25.48419,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
36,null,null,Soshanguve5 - HIGH RISK AREA,#Style634867,"28.108519,-25.483881,0 28.110409,-25.503249,0 28.108004,-25.50991,0 28.107146,-25.515177,0 28.104572,-25.517347,0 28.102509,-25.522303,0 28.111094,-25.526796,0 28.118476,-25.531597,0 28.122081,-25.507587,0 28.121393,-25.494416,0 28.118134,-25.479852,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
37,null,null,Soshanguve6 - HIGH RISK AREA,#Style634868,"28.062857,-25.473188,0 28.074186,-25.489459,0 28.083628,-25.484966,0 28.104744,-25.482175,0 28.103714,-25.471174,0 28.099765,-25.458155,0 28.083801,-25.461718,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
38,null,null,Soshanguve7 - HIGH RISK AREA,#Style634869,"28.110409,-25.453658,0 28.118134,-25.467299,0 28.121051,-25.476597,0 28.129463,-25.476441,0 28.125515,-25.465129,0 28.117273,-25.450714,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
39,null,null,Soshanguve8 - HIGH RISK AREA,#Style634870,"28.079336,-25.462029,0 28.089293,-25.458155,0 28.106804,-25.451955,0 28.100107,-25.438158,0 28.075562,-25.440947,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
40,null,null,Tembisa1 - HIGH RISK AREA,#Style634871,"28.158646,-25.98721,0 28.178215,-26.035806,0 28.188514,-26.035806,0 28.195723,-26.022849,0 28.20362,-26.014983,0 28.209454,-26.014057,0 28.216837,-26.015909,0 28.216837,-26.009584,0 28.217354,-26.00372,0 28.223534,-25.998476,0 28.230228,-25.998784,0 28.239325,-25.99539,0 28.24293,-25.99292,0 28.23864,-25.979033,0 28.229413,-25.976254,0 28.220528,-25.97116,0 28.210702,-25.964756,0 28.20613,-25.961245,0 28.200703,-25.959278,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
41,null,null,Tembisa2 - HIGH RISK AREA,#Style634872,"28.200531,-26.022542,0 28.196753,-26.027324,0 28.193493,-26.0392,0 28.216324,-26.042749,0 28.220099,-26.035962,0 28.231086,-26.029945,0 28.225594,-26.022234,0 28.219929,-26.018992,0 28.20774,-26.018377,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
42,null,null,Tembisa3 - HIGH RISK AREA,#Style634873,"28.220614,-26.015601,0 28.225421,-26.016217,0 28.231601,-26.021153,0 28.243275,-26.019766,0 28.248595,-26.013441,0 28.24705,-25.998321,0 28.23692,-25.999092,0 28.224907,-26.002949,0 28.221817,-26.006036,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
43,null,null,Mozambique - BORDER WARNING,#Style634874,"31.984805,-25.436454,0 31.975449,-25.441492,0 31.983433,-25.445986,0 31.973734,-25.477992,0 31.975193,-25.512775,0 31.986951,-25.529043,0 31.992702,-25.559166,0 31.999226,-25.602443,0 32.000424,-25.629455,0 31.989698,-25.672395,0 31.963861,-25.704726,0 31.953133,-25.73759,0 31.942661,-25.779565,0 31.938455,-25.889651,0 31.980515,-25.969003,0 32.012787,-25.650192,0 31.999741,-25.425912,0 32.025145,-25.325098,0 32.035102,-25.191583,0 32.033386,-25.029305,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
44,null,null,Mozambique2 - BORDER WARNING,#Style634875,"32.019652,-25.028994,0 32.001457,-24.836907,0 31.992874,-24.700053,0 31.998711,-24.514327,0 31.988409,-24.371179,0 31.886787,-24.095365,0 31.864815,-23.955507,0 31.674956,-23.62628,0 31.546209,-23.48214,0 31.365967,-22.618763,0 31.303909,-22.449428,0 31.310946,-22.440702,0 31.331976,-22.492733,0 31.544837,-23.12694,0 31.571421,-23.47379,0 31.701736,-23.621877,0 31.867218,-23.941075,0 31.893308,-24.082453,0 31.988067,-24.300795,0 32.011755,-24.70727,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
45,null,null,Beitbridge - ZIMBABWE BORDER WARNING,#Style634876,"29.983664,-22.259868,0 30.002545,-22.255576,0 29.994821,-22.227613,0 29.986322,-22.223085,0 29.979544,-22.223959,0 29.978943,-22.238178,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
46,null,null,Tlokweng Border Post - BOTSWANA BORDER WARNING,#Style634877,"26.08725,-24.708201,0 26.101883,-24.717012,0 26.10948,-24.714206,0 26.102485,-24.70473,0 26.097591,-24.700949,0 26.086907,-24.706136,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
47,null,null,Lobatse Border Post - BOTSWANA BORDER WARNING,#Style634878,"25.712192,-25.27786,0 25.719573,-25.283332,0 25.724765,-25.281818,0 25.718371,-25.275493,0 25.715668,-25.273143,0 25.712771,-25.272231,0 25.710194,-25.275513,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
48,null,null,Oranjemund Border Post - NAMIBIA BORDER WARNING,#Style634879,"16.501463,-28.566884,0 16.504726,-28.571857,0 16.511849,-28.570954,0 16.505842,-28.564848,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
49,null,null,Sendelingsdrif Border Post - NAMIBIA BORDER WARNING,#Style634880,"16.891563,-28.12723,0 16.898644,-28.125945,0 16.896885,-28.119188,0 16.890277,-28.118735,0 16.887982,-28.119057,0 16.888667,-28.126684,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
50,null,null,Vioolsdrif Boder Post - NAMIBIA BORDER WARNING,#Style634881,"17.632456,-28.776686,0 17.638763,-28.772437,0 17.628679,-28.764686,0 17.624431,-28.763822,0 17.618894,-28.768073,0 17.617692,-28.770669,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
51,null,null,Onseepkans Border Post - NAMIBIA BORDER WARNING,#Style634882,"19.298514,-28.772473,0 19.32289,-28.766003,0 19.315166,-28.734549,0 19.294222,-28.732441,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
52,null,null,Ariamsvlei Border Post - NAMIBIA BORDER WARNING,#Style634883,"19.998722,-28.098293,0 20.01563,-28.093184,0 20.013055,-28.08811,0 19.997606,-28.0911,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
53,null,null,Maseru Border Post - LESOTHO BORDER WARNING,#Style634884,"27.443117,-29.293099,0 27.43947,-29.296914,0 27.452774,-29.30223,0 27.457322,-29.29568,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
54,null,null,Mananga Border Post - SWAZILAND BORDER WARNING,#Style634885,"31.761817,-25.926283,0 31.767783,-25.928329,0 31.762805,-25.93628,0 31.756668,-25.933347,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
55,null,null,Maseru Border Post - MASERU BORDER WARNING,#Style634886,"27.447752,-29.294259,0 27.441358,-29.2983,0 27.459426,-29.30223,0 27.462816,-29.298338,0 27.463331,-29.29774,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
56,null,null,Maputsoe Border Post - MAPUTSOE BORDER WARNING,#Style634887,"27.883986,-28.882708,0 27.887335,-28.879024,0 27.897718,-28.884813,0 27.893515,-28.887593,0 27.892914,-28.887892,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
57,null,null,Sani Pass Border Post - SANI PASS BORDER WARNING,#Style634888,"29.287941,-29.584505,0 29.286718,-29.585867,0 29.283156,-29.584727,0 29.2844,-29.583421,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
58,null,null,Qachasnek Border Post - QACHASNEK BODRER WARNING,#Style634889,"28.687867,-30.127832,0 28.688123,-30.128879,0 28.686288,-30.128917,0 28.686696,-30.12976,0 28.684809,-30.129808,0 28.684176,-30.129131,0 28.684187,-30.128564,0 28.684712,-30.128136,0 28.68455,-30.128045,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
59,null,null,Van Rooyens Gate Border Post - VAN ROOYENS GATE BORDER WARNING,#Style634890,"27.112134,-29.756665,0 27.111039,-29.754485,0 27.106297,-29.754988,0 27.105502,-29.755213,0 27.108207,-29.757819,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
60,null,null,Soweto2 - HIGH RISK AREA,#Style634891,"27.76039,-26.25832,0 27.792148,-26.261396,0 27.802618,-26.260013,0 27.80159,-26.255241,0 27.797813,-26.219211,0 27.800903,-26.210587,0 27.805364,-26.195799,0 27.80674,-26.178546,0 27.786138,-26.175467,0 27.763138,-26.181321,0 27.751121,-26.18625,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
61,null,null,Bulembu Border Post - BULEMBU BORDER WARNING,#Style634892,"31.120577,-25.942858,0 31.119997,-25.945868,0 31.126069,-25.946372,0 31.126971,-25.942764,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
